sample_age_rep,starch
 GH119_m_1,15.29808355
 GH119_m_2,8.981726648
 GH119_m_3,4.627943657
 GH119_m_4,56.51654631
 GH119_m_5,46.38181339
 GH119_m_6,29.07168315
 GH119_m_7,12.50313076
 GH119_m_8,20.74329769
 GH119_m_9,22.32169988
 MR8.2_y_1,3.185279538
 MR8.2_y_2,1.957115867
 MR8.2_y_3,8.813026391
 MR8.2_o_1,20.95489413
 MR8.2_o_2,41.92554931
 MR8.2_o_3,26.57259072
 MR8.2_m_1,61.03262892
 MR8.2_m_2,6.415108441
 MR8.2_m_3,-0.657716991
 MR8.2_m_4,14.49633464
 MR8.2_m_5,6.837358936
 MR8.2_m_6,5.061099897
 MR8.2_m_7,16.96840965
 MR8.2_m_8,19.03247836
 MR8.2_m_9,8.988423351
 LE1236_y_1,1.99474765
 LE1236_y_2,1.505251554
 LE1236_y_3,1.308442864
 LE1236_o_1,9.942114199
 LE1236_o_2,10.78045387
 LE1236_o_3,16.31749967
 LE1236_m_1,8.34345949
 LE1236_m_2,10.14379407
 LE1236_m_3,3.647218973
 LE1236_m_4,29.5336079
 LE1236_m_5,27.87102302
 LE1236_m_6,6.887187993
 LE1236_m_7,16.02018583
 LE1236_m_8,26.18596525
 LE1236_m_9,37.87643813
 LE2766_y_1,5.5202473
 LE2766_y_2,12.29085137
 LE2766_y_3,2.804532511
 LE2766_o_1,2.33579493
 LE2766_o_2,3.391980464
 LE2766_o_3,2.334386683
 LE2766_m_1,11.53714303
 LE2766_m_2,16.74830526
 LE2766_m_3,11.01983699
 LE2766_m_4,32.17910715
 LE2766_m_5,3.008831402
 LE2766_m_6,3.007082082
 LE2766_m_7,22.04467178
 LE2766_m_8,3.806215006
 LE2766_m_9,1.51185625
 MR3.2_y_1,5.5202473
 MR3.2_y_2,4.522231529
 MR3.2_y_3,14.77163128
 MR3.2_o_1,8.554134668
 MR3.2_o_2,7.319803221
 MR3.2_o_3,6.682404626
 MR3.2_m_1,7.350645088
 MR3.2_m_2,3.970274152
 MR3.2_m_3,9.641755246
 MR3.2_m_4,12.14698785
 MR3.2_m_5,3.788684766
 MR3.2_m_6,6.99823967
 MR3.2_m_7,21.59798288
 MR3.2_m_8,21.74134463
 MR3.2_m_9,21.85626264
