sample_id,sample_age_rep,harvest_time
lea_Spec4_diverse_ED00158.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00159.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00160.asd.ref,SCHWARZ,ED
lea_Spec4_diverse_ED00161.asd.ref,SCHWARZ,ED
lea_Spec4_diverse_ED00162.asd.ref,SCHWARZ,ED
lea_Spec4_diverse_ED00163.asd.ref,SCHWARZ,ED
lea_Spec4_diverse_ED00164.asd.ref,SCHWARZ,ED
lea_Spec4_diverse_ED00165.asd.ref,SCHWARZ,ED
lea_Spec4_diverse_ED00166.asd.ref,SCHWARZ,ED
lea_Spec4_diverse_ED00167.asd.ref,SCHWARZ,ED
lea_Spec4_diverse_ED00168.asd.ref,SCHWARZ,ED
lea_Spec4_diverse_ED00169.asd.ref,SCHWARZ,ED
lea_Spec4_diverse_ED00170.asd.ref,LE2768_m_6,ED
lea_Spec4_diverse_ED00171.asd.ref,LE2768_m_6,ED
lea_Spec4_diverse_ED00172.asd.ref,LE2768_m_6,ED
lea_Spec4_diverse_ED00173.asd.ref,LE2768_m_6,ED
lea_Spec4_diverse_ED00174.asd.ref,LE2768_m_6,ED
lea_Spec4_diverse_ED00175.asd.ref,LE2768_m_6,ED
lea_Spec4_diverse_ED00176.asd.ref,LE2768_m_6,ED
lea_Spec4_diverse_ED00177.asd.ref,LE2768_m_6,ED
lea_Spec4_diverse_ED00178.asd.ref,LE2768_m_6,ED
lea_Spec4_diverse_ED00179.asd.ref,LE2768_m_6,ED
lea_Spec4_diverse_ED00180.asd.ref,LE2768_m_7,ED
lea_Spec4_diverse_ED00181.asd.ref,LE2768_m_7,ED
lea_Spec4_diverse_ED00182.asd.ref,LE2768_m_7,ED
lea_Spec4_diverse_ED00183.asd.ref,LE2768_m_7,ED
lea_Spec4_diverse_ED00184.asd.ref,LE2768_m_7,ED
lea_Spec4_diverse_ED00185.asd.ref,LE2768_m_7,ED
lea_Spec4_diverse_ED00186.asd.ref,LE2768_m_7,ED
lea_Spec4_diverse_ED00187.asd.ref,LE2768_m_7,ED
lea_Spec4_diverse_ED00188.asd.ref,LE2768_m_7,ED
lea_Spec4_diverse_ED00189.asd.ref,LE2768_m_7,ED
lea_Spec4_diverse_ED00190.asd.ref,LE2768_m_8,ED
lea_Spec4_diverse_ED00191.asd.ref,LE2768_m_8,ED
lea_Spec4_diverse_ED00192.asd.ref,LE2768_m_8,ED
lea_Spec4_diverse_ED00193.asd.ref,LE2768_m_8,ED
lea_Spec4_diverse_ED00194.asd.ref,LE2768_m_8,ED
lea_Spec4_diverse_ED00195.asd.ref,LE2768_m_8,ED
lea_Spec4_diverse_ED00196.asd.ref,LE2768_m_8,ED
lea_Spec4_diverse_ED00197.asd.ref,LE2768_m_8,ED
lea_Spec4_diverse_ED00198.asd.ref,LE2768_m_8,ED
lea_Spec4_diverse_ED00199.asd.ref,LE2768_m_8,ED
lea_Spec4_diverse_ED00200.asd.ref,LE2768_m_9,ED
lea_Spec4_diverse_ED00201.asd.ref,LE2768_m_9,ED
lea_Spec4_diverse_ED00202.asd.ref,LE2768_m_9,ED
lea_Spec4_diverse_ED00203.asd.ref,LE2768_m_9,ED
lea_Spec4_diverse_ED00204.asd.ref,LE2768_m_9,ED
lea_Spec4_diverse_ED00205.asd.ref,LE2768_m_9,ED
lea_Spec4_diverse_ED00206.asd.ref,LE2768_m_9,ED
lea_Spec4_diverse_ED00207.asd.ref,LE2768_m_9,ED
lea_Spec4_diverse_ED00208.asd.ref,LE2768_m_9,ED
lea_Spec4_diverse_ED00209.asd.ref,LE2768_m_9,ED
lea_Spec4_diverse_ED00210.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00211.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00212.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00213.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00214.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00215.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00216.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00217.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00218.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00219.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00220.asd.ref,SCHWARZ,ED
lea_Spec4_diverse_ED00221.asd.ref,SCHWARZ,ED
lea_Spec4_diverse_ED00222.asd.ref,SCHWARZ,ED
lea_Spec4_diverse_ED00223.asd.ref,SCHWARZ,ED
lea_Spec4_diverse_ED00224.asd.ref,SCHWARZ,ED
lea_Spec4_diverse_ED00225.asd.ref,SCHWARZ,ED
lea_Spec4_diverse_ED00226.asd.ref,SCHWARZ,ED
lea_Spec4_diverse_ED00227.asd.ref,SCHWARZ,ED
lea_Spec4_diverse_ED00228.asd.ref,SCHWARZ,ED
lea_Spec4_diverse_ED00229.asd.ref,SCHWARZ,ED
lea_Spec4_diverse_ED00230.asd.ref,LE1619_y_1,ED
lea_Spec4_diverse_ED00231.asd.ref,LE1619_y_1,ED
lea_Spec4_diverse_ED00232.asd.ref,LE1619_y_1,ED
lea_Spec4_diverse_ED00233.asd.ref,LE1619_y_1,ED
lea_Spec4_diverse_ED00234.asd.ref,LE1619_y_1,ED
lea_Spec4_diverse_ED00235.asd.ref,LE1619_y_1,ED
lea_Spec4_diverse_ED00236.asd.ref,LE1619_y_1,ED
lea_Spec4_diverse_ED00237.asd.ref,LE1619_y_1,ED
lea_Spec4_diverse_ED00238.asd.ref,LE1619_y_1,ED
lea_Spec4_diverse_ED00239.asd.ref,LE1619_y_1,ED
lea_Spec4_diverse_ED00240.asd.ref,LE1619_y_2,ED
lea_Spec4_diverse_ED00241.asd.ref,LE1619_y_2,ED
lea_Spec4_diverse_ED00242.asd.ref,LE1619_y_2,ED
lea_Spec4_diverse_ED00243.asd.ref,LE1619_y_2,ED
lea_Spec4_diverse_ED00244.asd.ref,LE1619_y_2,ED
lea_Spec4_diverse_ED00245.asd.ref,LE1619_y_2,ED
lea_Spec4_diverse_ED00246.asd.ref,LE1619_y_2,ED
lea_Spec4_diverse_ED00247.asd.ref,LE1619_y_2,ED
lea_Spec4_diverse_ED00248.asd.ref,LE1619_y_2,ED
lea_Spec4_diverse_ED00249.asd.ref,LE1619_y_2,ED
lea_Spec4_diverse_ED00250.asd.ref,LE1619_y_3,ED
lea_Spec4_diverse_ED00251.asd.ref,LE1619_y_3,ED
lea_Spec4_diverse_ED00252.asd.ref,LE1619_y_3,ED
lea_Spec4_diverse_ED00253.asd.ref,LE1619_y_3,ED
lea_Spec4_diverse_ED00254.asd.ref,LE1619_y_3,ED
lea_Spec4_diverse_ED00255.asd.ref,LE1619_y_3,ED
lea_Spec4_diverse_ED00256.asd.ref,LE1619_y_3,ED
lea_Spec4_diverse_ED00257.asd.ref,LE1619_y_3,ED
lea_Spec4_diverse_ED00258.asd.ref,LE1619_y_3,ED
lea_Spec4_diverse_ED00259.asd.ref,LE1619_y_3,ED
lea_Spec4_diverse_ED00260.asd.ref,LE1619_o_1,ED
lea_Spec4_diverse_ED00261.asd.ref,LE1619_o_1,ED
lea_Spec4_diverse_ED00262.asd.ref,LE1619_o_1,ED
lea_Spec4_diverse_ED00263.asd.ref,LE1619_o_1,ED
lea_Spec4_diverse_ED00264.asd.ref,LE1619_o_1,ED
lea_Spec4_diverse_ED00265.asd.ref,LE1619_o_1,ED
lea_Spec4_diverse_ED00266.asd.ref,LE1619_o_1,ED
lea_Spec4_diverse_ED00267.asd.ref,LE1619_o_1,ED
lea_Spec4_diverse_ED00268.asd.ref,LE1619_o_1,ED
lea_Spec4_diverse_ED00269.asd.ref,LE1619_o_1,ED
lea_Spec4_diverse_ED00270.asd.ref,LE1619_o_2,ED
lea_Spec4_diverse_ED00271.asd.ref,LE1619_o_2,ED
lea_Spec4_diverse_ED00272.asd.ref,LE1619_o_2,ED
lea_Spec4_diverse_ED00273.asd.ref,LE1619_o_2,ED
lea_Spec4_diverse_ED00274.asd.ref,LE1619_o_2,ED
lea_Spec4_diverse_ED00275.asd.ref,LE1619_o_2,ED
lea_Spec4_diverse_ED00276.asd.ref,LE1619_o_2,ED
lea_Spec4_diverse_ED00277.asd.ref,LE1619_o_2,ED
lea_Spec4_diverse_ED00278.asd.ref,LE1619_o_2,ED
lea_Spec4_diverse_ED00279.asd.ref,LE1619_o_2,ED
lea_Spec4_diverse_ED00280.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00281.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00282.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00283.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00284.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00285.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00286.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00287.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00288.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00289.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00290.asd.ref,SCHWARZ,ED
lea_Spec4_diverse_ED00291.asd.ref,SCHWARZ,ED
lea_Spec4_diverse_ED00292.asd.ref,SCHWARZ,ED
lea_Spec4_diverse_ED00293.asd.ref,SCHWARZ,ED
lea_Spec4_diverse_ED00294.asd.ref,SCHWARZ,ED
lea_Spec4_diverse_ED00295.asd.ref,SCHWARZ,ED
lea_Spec4_diverse_ED00296.asd.ref,SCHWARZ,ED
lea_Spec4_diverse_ED00297.asd.ref,SCHWARZ,ED
lea_Spec4_diverse_ED00298.asd.ref,SCHWARZ,ED
lea_Spec4_diverse_ED00299.asd.ref,SCHWARZ,ED
lea_Spec4_diverse_ED00300.asd.ref,LE1619_o_3,ED
lea_Spec4_diverse_ED00301.asd.ref,LE1619_o_3,ED
