wavelength,vip,model,coef
500,1.0620177307931291,PLSR starch,-0.22166290508782516
604,1.0611334962020873,PLSR starch,-0.4800056218122757
1792,1.0610550503410303,PLSR starch,0.6352924684029732
1208,1.0603309275416983,PLSR starch,0.4720167144763938
512,1.0586690311569837,PLSR starch,0.10398768117534805
2140,1.0583265774036636,PLSR starch,0.9354363781562821
1640,1.058173723475096,PLSR starch,1.2641060738233005
644,1.0573949454592708,PLSR starch,0.27345487711191724
1824,1.0565481964285142,PLSR starch,0.22734923545386587
812,1.0549579085593406,PLSR starch,0.601827438347939
688,1.0546200867274296,PLSR starch,-0.5514100150215654
624,1.0533242527480149,PLSR starch,-0.2133270361100551
1916,1.0529944824015818,PLSR starch,0.5556558623912664
1704,1.0528718342286776,PLSR starch,1.0432983225627395
2232,1.051289636066767,PLSR starch,0.43942579034790064
648,1.0501963614423426,PLSR starch,0.02635650125457207
1788,1.0497589273833434,PLSR starch,0.052015753329834075
496,1.0497474520510466,PLSR starch,-0.4252496818448599
904,1.0497039238382484,PLSR starch,-0.13482026883767423
516,1.0495640989775843,PLSR starch,0.22808743568477155
1020,1.049534711169612,PLSR starch,-0.640425450931722
660,1.047735400913004,PLSR starch,-0.05446154142586154
692,1.0434455384354109,PLSR starch,-0.32143426410298853
1068,1.0430439687043462,PLSR starch,-0.023970291079035942
1088,1.0425834740449083,PLSR starch,0.4030345249577486
664,1.0398682518438644,PLSR starch,0.07625647199565859
492,1.035698584299337,PLSR starch,-0.49475593277303165
424,1.0349616511689723,PLSR starch,0.33267640991942965
1072,1.0324271208852902,PLSR starch,0.05614805769766784
920,1.0296458603903738,PLSR starch,0.7546766292467533
1084,1.0284476197183936,PLSR starch,0.20936684719058812
1200,1.0282814624108616,PLSR starch,0.21732856699511116
2236,1.0266820533574528,PLSR starch,1.0864224049720708
520,1.025895083351955,PLSR starch,0.2286592158679036
488,1.02506062946479,PLSR starch,-0.29503947520174906
864,1.0245278353401808,PLSR starch,-0.00213680221978406
596,1.0244593622708535,PLSR starch,0.33246041756553585
1460,1.022271921947474,PLSR starch,0.6551462373649954
1076,1.0220820081865583,PLSR starch,-0.39786892225373416
976,1.0217906944249973,PLSR starch,1.1590125079252913
816,1.0209931742195824,PLSR starch,-0.01663804233924991
476,1.0203138227379664,PLSR starch,-0.6527108481144507
720,1.0202095876140327,PLSR starch,-0.5501361122468442
804,1.018290675140569,PLSR starch,-0.8091854056494635
628,1.0171209190226542,PLSR starch,0.41549484155341104
592,1.0166125413077054,PLSR starch,-0.1654234945356834
1264,1.0152891094291314,PLSR starch,-0.6710854183079936
1196,1.0146351531510587,PLSR starch,-0.6945817629117735
540,1.0143648599433068,PLSR starch,0.19224016289085366
1092,1.0132905777888777,PLSR starch,0.3495256336664349
588,1.011002872518689,PLSR starch,-0.2250533366121482
1204,1.01076811413366,PLSR starch,0.2337951936453825
1188,1.009886663337209,PLSR starch,-0.4164563557786399
580,1.0093313447595391,PLSR starch,-0.31633926962676157
584,1.009318192102741,PLSR starch,-0.21123202270066554
1040,1.0093029312928783,PLSR starch,0.15593360836845752
1292,1.007943144131354,PLSR starch,0.4097969993583378
2180,1.0073689364884073,PLSR starch,0.9404823041199741
1220,1.0060141047760731,PLSR starch,0.5536975097242679
1080,1.0045218610878297,PLSR starch,-0.05620960610506055
2188,1.002705047493364,PLSR starch,0.8232365331290323
1784,1.002145599448431,PLSR starch,0.015717662947155764
524,0.9999502047625322,PLSR starch,0.20986054931189732
696,0.9991640464502259,PLSR starch,-0.18486153469936578
2184,0.9988315836238693,PLSR starch,0.8281771872615514
600,0.9980200349449246,PLSR starch,0.1150818397970322
1828,0.9978070188340277,PLSR starch,0.651836302060776
1228,0.9955475958233728,PLSR starch,0.6548630904489287
2136,0.9931069451808945,PLSR starch,0.7587482475588688
1096,0.992833344197718,PLSR starch,0.561403121462853
576,0.9869017871392962,PLSR starch,-0.28736842870366625
888,0.98573686544636,PLSR starch,-0.43002295904834265
1308,0.9848953788716424,PLSR starch,0.31034547437824567
932,0.984802750296118,PLSR starch,0.07694382904620949
1100,0.9843691309192225,PLSR starch,0.3193900636128273
1636,0.9842928327959921,PLSR starch,1.0519387749925595
2288,0.9833604488287575,PLSR starch,1.4086093875864196
2296,0.9829917451593273,PLSR starch,1.4448209931651808
416,0.9827545105301339,PLSR starch,1.4505302872556196
988,0.9791550631671828,PLSR starch,0.784201605602279
2216,0.9783607465911364,PLSR starch,0.022079689670533253
1304,0.9779267938936532,PLSR starch,0.4160752809448396
472,0.976539379132964,PLSR starch,-0.2344764396911475
436,0.9753681183933217,PLSR starch,-0.9486537227694818
1244,0.9749728654371741,PLSR starch,0.7299165285511159
924,0.9746845297523131,PLSR starch,0.4084258858783978
972,0.9746538738048172,PLSR starch,1.1084872394356249
868,0.9737097398288158,PLSR starch,-1.0270572865208452
1912,0.9734549199983479,PLSR starch,0.4376838902258832
1312,0.9715321182511035,PLSR starch,0.34369454410935607
2132,0.970474957763535,PLSR starch,0.6629993007166981
1268,0.9697273482232782,PLSR starch,-0.2595803512013245
2244,0.9695644246443345,PLSR starch,-0.7924575609537285
944,0.96811496213608506,PLSR starch,-0.01813944655622046
528,0.9674322896636197,PLSR starch,0.1125189342247074
2212,0.9673111090651983,PLSR starch,-0.34141677054048125
1736,0.9660607588288846,PLSR starch,-0.5893925980267979
1420,0.9638165500773345,PLSR starch,0.5155106155708649
1232,0.9638096628651661,PLSR starch,0.4020404523617215
556,0.9631485158386577,PLSR starch,-0.2710685607482458
1716,0.9622380374834968,PLSR starch,0.7062739888335895
1624,0.9598743508657005,PLSR starch,0.9053104682405559
1620,0.9590626613784438,PLSR starch,0.9259019358374734
796,0.9589454037042944,PLSR starch,-0.009480368272043252
916,0.9570662373583757,PLSR starch,0.2693909588720444
948,0.9549029071557686,PLSR starch,0.1252109707910427
936,0.954160754034913,PLSR starch,0.5424926376426518
1316,0.9539775106947587,PLSR starch,0.27961032129083846
1740,0.9529827852976381,PLSR starch,-0.510734418086775
1300,0.9510251913031024,PLSR starch,0.3779861419465835
532,0.9487832578747889,PLSR starch,0.05266137497869215
